source,title,summary,link,text,date,label
onet_sport,Jedno wykluczenie ustawiło mecz Włókniarz - ROW. Czy sędzia się pomylił?,,https://przegladsportowy.onet.pl/zuzel/ekstraliga/jedno-wykluczenie-ustawilo-mecz-wlokniarz-row-czy-sedzia-sie-pomylil/l1p7y4e,Jedno wykluczenie ustawiło mecz Włókniarz - ROW. Czy sędzia się pomylił? ,,0.0
onet_sport,Krzysztof Piątek w transferowym domino! Nagle pada nazwisko innego Polaka,,https://przegladsportowy.onet.pl/pilka-nozna/transfery/krzysztof-piatek-w-transferowym-domino-nagle-pada-nazwisko-innego-polaka/zg240zd,Krzysztof Piątek w transferowym domino! Nagle pada nazwisko innego Polaka ,,1.0
onet_sport,Tak Carlo Ancelotti tłumaczył porażkę Realu Madryt z Barceloną,,https://przegladsportowy.onet.pl/pilka-nozna/laliga/tak-carlo-ancelotti-tlumaczyl-porazke-realu-madryt-z-barcelona/mnyqm8l,Tak Carlo Ancelotti tłumaczył porażkę Realu Madryt z Barceloną ,,1.0
onet_sport,Do megasensacji zabrakło… minuty. A to nie wszystko,,https://przegladsportowy.onet.pl/rugby/do-megasensacji-zabraklo-minuty-a-to-nie-wszystko/41h5kdg,Do megasensacji zabrakło… minuty. A to nie wszystko ,,1.0
onet_sport,Trener Lecha nie gryzł się w język po hicie z Legią. Wypalił: to nie koniec,,https://przegladsportowy.onet.pl/pilka-nozna/ekstraklasa/trener-lecha-nie-gryzl-sie-w-jezyk-po-hicie-z-legia-wypalil-to-nie-koniec/pftfnwk,Trener Lecha nie gryzł się w język po hicie z Legią. Wypalił: to nie koniec ,,0.0
onet_sport,To wtedy zapadnie decyzja w sprawie Goncalo Feio w Legii Warszawa. Jasny sygnał,,https://przegladsportowy.onet.pl/pilka-nozna/ekstraklasa/to-wtedy-zapadnie-decyzja-w-sprawie-goncalo-feio-w-legii-warszawa-jasny-sygnal/80b5l3z,To wtedy zapadnie decyzja w sprawie Goncalo Feio w Legii Warszawa. Jasny sygnał ,,0.0
onet_sport,"Hansi Flick nagle wypalił: muszę zrobić badania. Wyjaśnił nieobecność ""Lewgo""",,https://przegladsportowy.onet.pl/pilka-nozna/laliga/thansi-flick-nagle-wypalil-musze-zrobic-badania-wyjasnil-nieobecnosc-lewgo/m1eptmk,"Hansi Flick nagle wypalił: muszę zrobić badania. Wyjaśnił nieobecność ""Lewgo"" ",,1.0
onet_sport,"W Realu wrze po El Clasico. ""Takie rzeczy tylko w Madrycie. Absurd""",,https://przegladsportowy.onet.pl/pilka-nozna/laliga/w-realu-wrze-po-el-clasico-takie-rzeczy-tylko-w-madrycie-absurd/35r93y0,"W Realu wrze po El Clasico. ""Takie rzeczy tylko w Madrycie. Absurd"" ",,1.0
onet_sport,WŁÓKNIARZ-ROW: Pachnie sensacją w Częstochowie!  [NA ŻYWO],,https://przegladsportowy.onet.pl/zuzel/ekstraliga/relacja-na-zywo-krono-plast-wlokniarz-czestochowa-innpro-row-rybnik/rp6pyk4,WŁÓKNIARZ-ROW: Pachnie sensacją w Częstochowie!  [NA ŻYWO] ,,0.0
onet_sport,Wielka zmiana! Oto co czeka kandydatów do mistrzostwa Polski,,https://przegladsportowy.onet.pl/pilka-nozna/ekstraklasa/wielka-zmiana-oto-co-czeka-kandydatow-do-mistrzostwa-polski/p84654w,Wielka zmiana! Oto co czeka kandydatów do mistrzostwa Polski ,,1.0
