title,summary,link,date,source
"Ubisoft po cichu i skrycie ulepszył fundamentalną mechanikę Assassin’s Creed: Shadows. Twórcy „nie mogli się doczekać, by to zrobić”","Ostatnia łatka do Assassin’s Creed: Shadows wprowadziła więcej zmian, niż sugerował oficjalny spis poprawek. Ubisoft zdecydował się ulepszyć też mechanikę parkouru, choć pod koniec maja ma ukazać się patch skupiony na tej aktywności.Informacja Ubisoft po cichu i skrycie ulepszył fundamentalną mechanikę Assassin’s Creed: Shadows. Twórcy „nie mogli się doczekać, by to zrobić” została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/ubisoft-po-cichu-i-skrycie-ulepszyl-fundamentalna-mechanike-assas/z72d746,"Mon, 12 May 2025 14:35:00 GMT",gryOnline
Nowe zdjęcie z 28 lat później zapowiada emocjonującą kontynuację jednego z najlepszych filmów o zombie wszech czasów. Widowisko z Ralphem Fiennesem obejrzymy już w czerwcu,Do sieci trafiło nowe zdjęcie promujące 28 lat później. Widowisko Danny’ego Boyle’a jest najbardziej oczekiwanym filmem roku według Letterboxd.Informacja Nowe zdjęcie z 28 lat później zapowiada emocjonującą kontynuację jednego z najlepszych filmów o zombie wszech czasów. Widowisko z Ralphem Fiennesem obejrzymy już w czerwcu została opublikowana przez GRYOnline.pl 12 maja 2025.,https://www.gry-online.pl/newsroom/nowe-zdjecie-z-28-lat-pozniej-zapowiada-emocjonujaca-kontynuacje/z42d743,"Mon, 12 May 2025 13:19:00 GMT",gryOnline
"22-letnia gra MMO jest tak złożona, że mało który nowy gracz ma odwagę ją wypróbować. Już niedługo z pomocą przyjdą im weterani EVE Online","Twórcy EVE Online sądzą, że znaleźli doskonały sposób na ułatwienie nowicjuszom zabawy. Są nimi misje tworzone przez innych graczy.Informacja 22-letnia gra MMO jest tak złożona, że mało który nowy gracz ma odwagę ją wypróbować. Już niedługo z pomocą przyjdą im weterani EVE Online została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/22-letnia-gra-mmo-jest-tak-zlozona-ze-malo-ktory-nowy-gracz-ma-od/z52d73e,"Mon, 12 May 2025 12:25:47 GMT",gryOnline
"Wyczekiwane porty Max Payne 3 i GTA 4 mają trafić na konsole obecnej generacji, donosi znany informator","Rockstar Games ma planować odświeżenie Grand Theft Auto 4 i Maxa Payne&apos;a 3, twierdzi znany informator specjalizujący się w „wykopywaniu” informacji ze świata gier tego studia.Informacja Wyczekiwane porty Max Payne 3 i GTA 4 mają trafić na konsole obecnej generacji, donosi znany informator została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/wyczekiwany-port-gta-4-zdaje-sie-zmierzac-na-konsole-obecnej-gene/z32d73c,"Mon, 12 May 2025 11:50:00 GMT",gryOnline
Za 10 dni premiera finałowej odsłony hitowej serii thrillerów akcji z Tomem Cruise’em. Po prawie 30 latach gwiazdor zakończy historię z Mission: Impossible,Mission: Impossible - The Final Reckoning wkrótce wejdzie na wielkie ekrany. Tom Cruise promuje ostatnie widowisko z przebojowej serii w nietypowy sposób.Informacja Za 10 dni premiera finałowej odsłony hitowej serii thrillerów akcji z Tomem Cruise’em. Po prawie 30 latach gwiazdor zakończy historię z Mission: Impossible została opublikowana przez GRYOnline.pl 12 maja 2025.,https://www.gry-online.pl/newsroom/za-10-dni-premiera-finalowej-odslony-hitowej-serii-thrillerow-akc/z22d73b,"Mon, 12 May 2025 11:42:00 GMT",gryOnline
"Darmowa strzelanka z łupami traci zainteresowanie na Steam. Deweloper przyznaje, że ostatnio w The First Descendant nie było zbyt wiele do roboty","The First Descendant spróbuje ponownie przekonać do siebie graczy, przy czym crossover z NieR wcale nie będzie najważniejszą nowością w 3. sezonie: Breakthrough.Informacja Darmowa strzelanka z łupami traci zainteresowanie na Steam. Deweloper przyznaje, że ostatnio w The First Descendant nie było zbyt wiele do roboty została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/darmowa-strzelanka-z-lupami-traci-zainteresowanie-na-steam-dewelo/z72d737,"Mon, 12 May 2025 11:15:00 GMT",gryOnline
Najlepszy build dla Lune w Clair Obscur Expedition 33. Tak można utrzymać całą drużynę przy życiu,Każda drużyna potrzebuje dobrego supporta. Dla ekipy z Expedition 33 Lune nada się w sam raz – wystarczy ją tylko dobrze zbudować.Informacja Najlepszy build dla Lune w Clair Obscur Expedition 33. Tak można utrzymać całą drużynę przy życiu została opublikowana przez GRYOnline.pl 12 maja 2025.,https://www.gry-online.pl/newsroom/najlepszy-build-dla-lune-w-clair-obscur-expedition-33-tak-mozna-u/z62d736,"Mon, 12 May 2025 11:04:00 GMT",gryOnline
"Starfield rozczarowuje moderów. Część z nich porzuca popularne projekty, ponieważ „brakuje im czasu i motywacji”","Starfield traci zainteresowanie części moderów. Zniechęceni postawą Bethesdy porzucają oni ten tytuł na rzecz innych gier.Informacja Starfield rozczarowuje moderów. Część z nich porzuca popularne projekty, ponieważ „brakuje im czasu i motywacji” została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/starfield-rozczarowuje-moderow-czesc-z-nich-porzuca-popularne-pro/z42d734,"Mon, 12 May 2025 11:00:29 GMT",gryOnline
Kultowa gra GeoGuessr trafiła na Steama i z miejsca stała się jedną z najgorzej ocenianych produkcji,"GeoGuessr zadebiutował na Steamie i od razu stał się jedną najgorzej ocenianych gier na platformie. Problemem jest płatna subskrypcja, zapewniająca mniej zawartości niż wersja przeglądarkowa.Informacja Kultowa gra GeoGuessr trafiła na Steama i z miejsca stała się jedną z najgorzej ocenianych produkcji została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/kultowa-gra-geoguessr-trafia-na-steama-i-z-miejsca-staje-sie-jedn/z22d732,"Mon, 12 May 2025 10:40:00 GMT",gryOnline
"Arnold Schwarzenegger i David Hasselhoff kontra naziści w kontynuacji komediowego hitu akcji, która może nigdy nie trafić do kin. Zwiastun Kung Fury 2 wyciekł do sieci","Kung Fury 2 to komedia akcji z gwiazdorską obsadą, która od lat znajduje się w produkcyjnym limbo. Teraz do sieci wyciekł wewnętrzny film promujący szalone, nostalgiczne widowisko.Informacja Arnold Schwarzenegger i David Hasselhoff kontra naziści w kontynuacji komediowego hitu akcji, która może nigdy nie trafić do kin. Zwiastun Kung Fury 2 wyciekł do sieci została opublikowana przez GRYOnline.pl 12 maja 2025.",https://www.gry-online.pl/newsroom/arnold-schwarzenegger-i-david-hasselhoff-kontra-nazisci-w-kontynu/z32d72d,"Mon, 12 May 2025 10:12:00 GMT",gryOnline
